title ,query,response
revised SMS charges,What are the existing charges for domestic SMS in SMS Banking?,The existing charge for domestic SMS in SMS Banking is Rs. 0.25 plus GST per SMS.
revised SMS charges,What are the existing charges for international SMS in SMS Banking?,The existing charge for international SMS in SMS Banking is Rs. 1.20 plus GST per SMS.
revised SMS charges,Is there a quarterly cap in the existing SMS Banking charges?,"Yes, the existing SMS Banking charges have a quarterly cap of Rs. 15 plus GST."
revised SMS charges,"Under the revised charges for SMS Banking, how much will be charged per domestic SMS?","Under the revised charges for SMS Banking, Rs. 0.25 plus GST will be charged per domestic SMS."
revised SMS charges,"Under the revised charges for SMS Banking, what is the charge per international SMS?","Under the revised charges, the charge per international SMS in SMS Banking is Rs. 1.20 plus GST per SMS."
revised SMS charges,Has the quarterly cap changed under the revised charges for SMS Banking?,"Yes, the revised SMS Banking charges have removed the quarterly cap that existed in the previous structure."
revised SMS charges,How do the revised charges for domestic SMS compare to the existing charges?,"The revised charges for domestic SMS remain the same as the existing charges, at Rs. 0.25 plus GST per SMS."
revised SMS charges,How do the revised charges for international SMS compare to the existing charges?,"The revised charges for international SMS remain the same as the existing charges, at Rs. 1.20 plus GST per SMS."
revised SMS charges,What change was made to the quarterly cap in the revised SMS Banking charges?,The quarterly cap of Rs. 15 plus GST was removed in the revised SMS Banking charges.
revised SMS charges,Do the revised SMS Banking charges apply to both domestic and international SMS?,"Yes, the revised SMS Banking charges apply to both domestic and international SMS, with Rs. 0.25 plus GST per domestic SMS and Rs. 1.20 plus GST per international SMS."
