title ,query,response
URTS,What is the purpose of the URTS-Composite scheme?,The purpose of the URTS-Composite scheme is to provide financial assistance for the installation of rooftop solar systems with project sizes above 3 kW to 25 kW.
URTS,What is the maximum loan amount available under the URTS-Composite scheme?,The maximum loan amount under the URTS-Composite scheme is up to Rs. 15 lakhs.
URTS,Who is eligible to apply for the URTS-Composite scheme?," Eligible applicants for the URTS-Composite scheme include existing home loan borrowers, individuals with a CIC score of 680 and above (including new-to-bank applicants), bank staff, and those with sufficient area as per MNRE guidelines, along with a recent electricity bill."
URTS,What is the rate of interest for the URTS-Composite scheme?,The rate of interest for the URTS-Composite scheme is as applicable under Union Home loans.
URTS,What is the maximum quantum of finance for the URTS-Composite scheme?,"Under the URTS-Composite scheme, borrowers can finance up to 80% of the project cost as per the MNRE-approved dealer."
URTS,What is the margin required for the URTS-Composite scheme?,"The required margin under the URTS-Composite scheme is 20% of the project cost, including equipment and installation."
URTS,What is the repayment period for the URTS-Composite scheme?, The maximum repayment period for the URTS-Composite scheme is 10 years.
URTS,Is there a moratorium period for the URTS-Composite scheme?,"Yes, the URTS-Composite scheme includes a 6-month moratorium period."
URTS,Is there a subsidy available for the URTS-Composite scheme? ,"Yes, there is a subsidy of Rs. 78,000 for the URTS-Composite scheme, which borrowers can claim using their loan account number."
URTS,What security is required under the URTS-Composite scheme?,The security requirement includes hypothecation of the rooftop solar system and a general lien over the title deed of the property offered in the existing home loan.
URTS,What is the net annual income requirement for the URTS-Composite scheme?,Income documentation is required as per the income documents provided by the applicant.
URTS,What are the processing charges for the URTS-Composite scheme?,The processing charge for the URTS-Composite scheme is 0.50% of the loan amount plus GST.
URTS,How is the loan amount disbursed under the URTS-Composite scheme?,"The loan amount is disbursed directly to the vendor or EPC contractor after the submission of required feasibility reports as mandated by MNRE. The disbursement includes the loan amount and borrower margin, while the subsidy is claimed by the borrower/vendor."
URTS,What other covenants are included in the URTS-Composite scheme?, The URTS-Composite scheme is sourced through the Jan Samarth Portal and is available for both customer-initiated and assisted journeys.
URTS,Is there an in-principle offer for the URTS-Composite scheme?,"No, there is no in-principle offer available for the URTS-Composite scheme."
URTS,What is the purpose of the URTS-Standalone scheme?,The purpose of the URTS-Standalone scheme is to provide financial assistance for the installation of rooftop solar systems with project sizes above 3 kW to 25 kW.
URTS,What is the maximum loan amount available under the URTS-Standalone scheme?,The maximum loan amount under the URTS-Standalone scheme is up to Rs. 15 lakhs.
URTS,Who is eligible to apply for the URTS-Standalone scheme?,"Eligible applicants include individuals who have not availed of home loans, borrowers with home loans from other banks (subject to an NOC from their bank), bank staff, and those with a CIC score of 680 or above (including new-to-bank applicants), with sufficient area as per MNRE guidelines and a recent electricity bill."
URTS,What is the rate of interest for the URTS-Standalone scheme?,"For CIC scores of 750 and above, the rate of interest is EBLR + 1.00% p.a., and for scores below 750, it is EBLR + 1.50% p.a."
URTS,What is the maximum quantum of finance for the URTS-Standalone scheme?,"Borrowers can finance up to 80% of the project cost, as per the MNRE-approved dealer."
URTS,What is the margin required for the URTS-Standalone scheme?,"The required margin under the URTS-Standalone scheme is 20% of the project cost, including equipment and installation."
URTS,What is the repayment period for the URTS-Standalone scheme?,The maximum repayment period for the URTS-Standalone scheme is 10 years.
URTS,Is there a moratorium period for the URTS-Standalone scheme?," Yes, the URTS-Standalone scheme includes a 6-month moratorium period."
URTS,Is there a subsidy available for the URTS-Standalone scheme?,"Yes, there is a subsidy of Rs. 78,000 for the URTS-Standalone scheme, which borrowers can claim using their loan account number."
URTS,What security is required under the URTS-Standalone scheme?,The security requirement includes hypothecation of the rooftop solar system.
URTS,What is the net annual income requirement for the URTS-Standalone scheme?,Income documentation is required as per the income documents provided by the applicant.
URTS,What are the processing charges for the URTS-Standalone scheme?,The processing charge for the URTS-Standalone scheme is 0.50% of the loan amount plus GST.
URTS,How is the loan amount disbursed under the URTS-Standalone scheme? ,"The loan amount is disbursed directly to the vendor or EPC contractor after the submission of required feasibility reports as mandated by MNRE. The disbursement includes the loan amount and borrower margin, while the subsidy is claimed by the borrower/vendor."
URTS,What other covenants are included in the URTS-Standalone scheme?, The URTS-Standalone scheme is sourced through the Jan Samarth Portal and is available for both customer-initiated and assisted journeys.
URTS,Is there an in-principle offer for the URTS-Standalone scheme?,"No, there is no in-principle offer available for the URTS-Standalone scheme."
URTS,What is the purpose of the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,The purpose of the URTS-PM Suryaghar: Muft Bijli Yojna scheme is to provide financial assistance for the installation of rooftop solar systems up to 3 kW.
URTS,What is the maximum loan amount available under the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,The maximum loan amount under the URTS-PM Suryaghar: Muft Bijli Yojna scheme is up to Rs. 2 lakhs.
URTS,Who is eligible to apply for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"Eligible applicants include existing home loan borrowers, individuals without home loans, those with home loans from other banks (subject to an NOC from their bank), bank staff, and those with a CIC score of 680 or above (including new-to-bank applicants), with sufficient area as per MNRE guidelines and a recent electricity bill."
URTS,What is the rate of interest for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,The rate of interest for the URTS-PM Suryaghar: Muft Bijli Yojna scheme is EBLR - 2.25% p.a. (currently 7% p.a.).
URTS,What is the maximum quantum of finance for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"Borrowers can finance up to 90% of the project cost, as per the MNRE-approved dealer."
URTS,What is the margin required for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"The required margin under the URTS-PM Suryaghar: Muft Bijli Yojna scheme is 10% of the project cost, including equipment and installation."
URTS,What is the repayment period for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,The maximum repayment period for the URTS-PM Suryaghar: Muft Bijli Yojna scheme is 10 years.
URTS,Is there a moratorium period for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"Yes, the URTS-PM Suryaghar: Muft Bijli Yojna scheme includes a 6-month moratorium period."
URTS,Is there a subsidy available for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"Yes, the subsidy is based on the project size – Rs. 30,000 for 1 kW, Rs. 60,000 for 2 kW, and Rs. 78,000 for 3 kW. Borrowers can claim the subsidy using their loan account number."
URTS,What security is required under the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,The security requirement includes hypothecation of the rooftop solar system.
URTS,What is the net annual income requirement for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,There is no income requirement for the URTS-PM Suryaghar: Muft Bijli Yojna scheme.
URTS,What are the processing charges for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,There are no processing charges for the URTS-PM Suryaghar: Muft Bijli Yojna scheme.
URTS,How is the loan amount disbursed under the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"The loan amount is disbursed directly to the vendor or EPC contractor after the submission of required feasibility reports as mandated by MNRE. The disbursement includes the loan amount and borrower margin, while the subsidy is claimed by the borrower/vendor."
URTS, What other covenants are included in the URTS-PM Suryaghar: Muft Bijli Yojna scheme? ,The URTS-PM Suryaghar: Muft Bijli Yojna scheme is sourced through the Jan Samarth Portal and is available for both customer-initiated and assisted journeys.
URTS,Is there an in-principle offer for the URTS-PM Suryaghar: Muft Bijli Yojna scheme?,"Yes, a digital in-principle sanction is provided for the URTS-PM Suryaghar: Muft Bijli Yojna scheme based on self-declaration by the applicant. The final sanction is granted upon verification of relevant documents and assessment by the respective banks."
