title ,query,response
Service Charge,What is the percentage increase in charges for image-based mandate registration?,"The percentage increase in charges for image-based mandate registration is 50%. It increased from ₹100 to ₹150, which is a ₹50 increase, representing a 50% rise."
Service Charge,How much more expensive is image-based mandate registration compared to e-mandate registration after the revision?,"After the revision, image-based mandate registration is ₹50 more expensive than e-mandate registration. Image-based registration costs ₹150, while e-mandate registration costs ₹100."
Service Charge,What is the difference between the increase in charges for e-mandate registration and image-based mandate registration?,"The difference in the increase is ₹0. Both e-mandate and image-based mandate registration charges increased by ₹50 (from ₹50 to ₹100 for e-mandate, and from ₹100 to ₹150 for image-based)."
Service Charge,By what percentage did the NACH/Direct debit Mandate Return charges increase?,"The NACH/Direct debit Mandate Return charges increased by 60%. The charges went from ₹250 to ₹400, which is an increase of ₹150, representing a 60% rise."
Service Charge,"If a customer processes 10 image-based mandate registrations and 15 e-mandate registrations under the revised charges, what would be the total cost?","The total cost would be ₹3,000. This is calculated as follows: 10 image-based registrations at ₹150 each: 10 × ₹150 = ₹1,500 15 e-mandate registrations at ₹100 each: 15 × ₹100 = ₹1,500 Total: ₹1,500 + ₹1,500 = ₹3,000"
Service Charge,How much would a customer save by choosing e-mandate registration over image-based registration for 20 transactions under the revised charges?,"A customer would save ₹1,000 by choosing e-mandate registration over image-based registration for 20 transactions. 20 image-based registrations: 20 × ₹150 = ₹3,000 20 e-mandate registrations: 20 × ₹100 = ₹2,000 Savings: ₹3,000 - ₹2,000 = ₹1,000"
Service Charge,"If a company processes 50 mandates with a 4% return rate, what would be the total cost under the revised charges, assuming all mandates are e-mandate registrations?","The total cost would be ₹5,800. Here's the breakdown: 50 e-mandate registrations: 50 × ₹100 = ₹5,000 Returns (4% of 50 = 2): 2 × ₹400 = ₹800 Total: ₹5,000 + ₹800 = ₹5,800"
Service Charge,What is the absolute difference in the increase of charges between e-mandate registration and NACH/Direct debit Mandate Return charges?,"The absolute difference in the increase is ₹100. E-mandate registration charges increased by ₹50 (from ₹50 to ₹100), while NACH/Direct debit Mandate Return charges increased by ₹150 (from ₹250 to ₹400). The difference between these increases is ₹150 - ₹50 = ₹100."
Service Charge,"If a business processes 30 image-based mandate registrations and experiences 5 returns in a month, what would be the total cost under the new charges?","The total cost would be ₹6,500. Here's the calculation: 30 image-based registrations: 30 × ₹150 = ₹4,500 5 returns: 5 × ₹400 = ₹2,000 Total: ₹4,500 + ₹2,000 = ₹6,500"
Service Charge,"Under the revised charges, how many e-mandate registrations could be processed for the same cost as 10 NACH/Direct debit Mandate Returns?","40 e-mandate registrations could be processed for the same cost as 10 NACH/Direct debit Mandate Returns. Cost of 10 returns: 10 × ₹400 = ₹4,000 Number of e-mandate registrations: ₹4,000 ÷ ₹100 = 40"
Service Charge,What is the difference between the existing charges and the revised charges for image-based mandate registration?,The difference is ₹50 (₹150 - ₹100).
Service Charge,How much more do you have to pay for an e-mandate registration after the charges were revised?,You have to pay ₹50 more (₹100 - ₹50).
Service Charge,"If a customer registers 3 image-based mandates under the revised charges, what will be the total cost?",The total cost would be ₹450 (3 × ₹150).
Service Charge,Calculate the total difference in charges if a customer registers 4 image-based mandates and 2 e-mandates after the charges were revised.,The total difference is ₹300 (4 × ₹50 + 2 × ₹50).
Service Charge,What is the revised charge for NACH/Direct debit mandate returns?,The revised charge is ₹400.
Service Charge,"If a customer had 5 NACH/Direct debit mandate returns, what would be the total cost at the revised charges?",The total cost would be ₹2000 (5 × ₹400).
Service Charge,By how much did the charges for NACH/Direct debit mandate returns increase after the revision?,The charges increased by ₹150 (₹400 - ₹250).
Service Charge,A customer registers 2 image-based mandates and 3 e-mandates after the revision. Calculate the total cost.,The total cost is ₹600 (2 × ₹150 + 3 × ₹100).
Service Charge,What is the percentage increase in charges for image-based mandate registration after revision?,The percentage increase is 50% ((₹150 - ₹100) / ₹100 × 100).
Service Charge,"If a customer registers 5 e-mandates and 4 image-based mandates before the revision, what is the total cost?",The total cost is ₹700 (5 × ₹50 + 4 × ₹100).
Service Charge,"After the revision, how much would it cost to register 7 image-based mandates?",It would cost ₹1050 (7 × ₹150).
Service Charge,Calculate the total additional amount a customer would pay if they had 3 mandate returns at the revised charges compared to the existing charges.,The total additional amount is ₹450 (3 × ₹150).
Service Charge,"If a customer registers 10 e-mandates under the revised charges, what is the total cost?",The total cost is ₹1000 (10 × ₹100).
Service Charge,How many e-mandate registrations can be done under the revised charges with a budget of ₹500?,A total of 5 e-mandate registrations can be done (₹500 ÷ ₹100).
Service Charge,"If a customer paid ₹1200 for image-based mandate registrations at the existing charges, how many mandates were registered?",12 image-based mandates were registered (₹1200 ÷ ₹100).
Service Charge,A customer has a budget of ₹3000 and wants to register as many image-based mandates as possible under the revised charges. How many mandates can be registered?,20 image-based mandates can be registered (₹3000 ÷ ₹150).
Service Charge,What would be the new total charge for registering 8 e-mandates and having 2 NACH mandate returns under the revised charges?,The total charge would be ₹1800 (8 × ₹100 + 2 × ₹400).
Service Charge,"If the revised charge for an image-based mandate is ₹150, how much would it cost to register 10 mandates and process 3 mandate returns at the new rate?",The total cost would be ₹3000 (10 × ₹150 + 3 × ₹400).
Service Charge,"A customer registers 6 image-based mandates before the revision and 6 after. What is the total cost, and how much more is it compared to registering all 12 at the existing rate?",Total cost is ₹1500 (6 × ₹100 + 6 × ₹150). The additional cost is ₹300 (₹1500 - ₹1200).
