title ,query,response
IR_FCNR(B)/RFC,"What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount below $200,000?","The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD below $200,000 is 5.35%."
IR_FCNR(B)/RFC,"What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount below 200,000?","The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount below 200,000 is 5.7%."
IR_FCNR(B)/RFC,"What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount of $200,000 or more?","The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount of 200,000 or more is 5.6%."
IR_FCNR(B)/RFC,"What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount of 200,000 or more?","The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in USD for an amount of 200,000 or more is 5.8%."
IR_FCNR(B)/RFC,What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in GBP?,The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in GBP is 5.05%.
IR_FCNR(B)/RFC,What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in GBP?,The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in GBP is 5.05%.
IR_FCNR(B)/RFC,What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in JPY?,The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in JPY is 0.01%.
IR_FCNR(B)/RFC,What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in JPY?,The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in JPY is 0.01%.
IR_FCNR(B)/RFC,What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in EUR?,The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in EUR is 3%.
IR_FCNR(B)/RFC,What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in EUR?,The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in EUR is 3%.
IR_FCNR(B)/RFC,What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in CAD?,The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in CAD is 4.55%.
IR_FCNR(B)/RFC,What is the revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in CAD?,The revised interest rate for a 1-year to less than 2-year FCNR (B) deposit in CAD is 4.55%.
IR_FCNR(B)/RFC,What is the existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in AUD?,The existing interest rate for a 1-year to less than 2-year FCNR (B) deposit in AUD is 3.75%.
