title,query,response
Union Vehicle Loan,What is the minimum margin for a new 4-wheeler loan for salaried individuals?,The minimum margin for a new 4-wheeler loan for salaried individuals is 10%.
Union Vehicle Loan,How does the minimum margin differ for a new 2-wheeler loan between salaried and non-salaried individuals?,"For a new 2-wheeler loan, the minimum margin is 20% for salaried individuals and 25% for non-salaried individuals."
Union Vehicle Loan,What is the minimum margin for an old 4-wheeler loan regardless of the borrower's salary status?,The minimum margin for an old 4-wheeler loan is 40% for both salaried and non-salaried individuals.
Union Vehicle Loan,How much margin would a borrower need if they wanted to finance a new 2-wheeler without maintaining a salary account?,A borrower would need a margin of 25% if they wanted to finance a new 2-wheeler without maintaining a salary account.
Union Vehicle Loan,"For a vehicle type categorized as ""New 4-Wheeler,"" what would be the total amount financed if the vehicle's price is Rs.10 Lakhs with a minimum margin of 10%?","The total amount financed would be Rs.9 Lakhs, as the borrower would need to provide a margin of Rs.1 Lakh."
Union Vehicle Loan,"If someone wants to buy an old 4-wheeler priced at Rs.5 Lakhs, how much would they need to pay as margin?","They would need to pay Rs.2 Lakhs as margin, which is 40% of the vehicle's price."
Union Vehicle Loan,"If an individual has a vehicle worth Rs.8 Lakhs and applies for an old 4-wheeler loan, how much will they need to cover as their own funds?","They will need to cover Rs.3.2 Lakhs as their own funds, which represents 40% of the vehicle's worth."
Union Vehicle Loan,"For a new vehicle priced at Rs.12 Lakhs, how much margin must be provided by someone who does not maintain their salary account?","They must provide a margin of Rs.3 Lakhs, which is 25% of the vehicle's price."
Union Vehicle Loan,How much more in terms of percentage does a non-salaried individual pay as margin on a new two-wheeler compared to a salaried individual?,A non-salaried individual pays an additional 5% as margin on a new two-wheeler compared to a salaried individual.
Union Vehicle Loan,"If a new 4-wheeler costs Rs.15 Lakhs, what is the minimum margin required for a salaried individual?","The minimum margin required for a salaried individual would be Rs.1.5 Lakhs, which is 10% of Rs.15 Lakhs."
Union Vehicle Loan,"How much can a non-salaried individual finance for a new 2-wheeler priced at Rs.1.5 Lakhs, given the margin requirement?","A non-salaried individual can finance Rs.1.125 Lakhs, as they need to provide a margin of Rs.37,500 (25% of Rs.1.5 Lakhs)."
Union Vehicle Loan,"For an old 4-wheeler valued at Rs.8 Lakhs, what is the total amount the borrower must cover as margin?","The borrower must cover Rs.3.2 Lakhs as margin, which is 40% of Rs.8 Lakhs."
Union Vehicle Loan,"For a new 2-wheeler priced at Rs.80,000, what would be the total financing available for a salaried individual?"," A salaried individual can finance Rs.64,000, as they need to provide a margin of Rs.16,000 (20% of Rs.80,000)."
Union Vehicle Loan,"If someone wants to buy an old 4-wheeler worth Rs.6 Lakhs, how much margin must they pay?",They must pay Rs.2.4 Lakhs as margin since it is 40% of the vehicle's price.
Union Vehicle Loan,"For a new vehicle costing Rs.10 Lakhs, how much must a non-salaried individual pay in margin?","A non-salaried individual must pay Rs.2.5 Lakhs in margin, which is 25% of the vehicle's cost."
Union Vehicle Loan,"If an old 4-wheeler costs Rs.5 Lakhs, how much total financing can be obtained after accounting for the required margin?", The total financing available would be Rs.3 Lakhs since the borrower needs to pay a margin of Rs.2 Lakhs (40% of Rs.5 Lakhs).
Union Vehicle Loan,"For a new 2-wheeler costing ₹50,000, what would be the total amount financed by someone maintaining their salary account?","The total amount financed would be ₹40,000 after paying a margin of ₹10,000 (20% of ₹50,000)."
Union Home,What is the loan to value (LTV) ratio for home loans up to Rs.30.00 Lakhs?,The loan to value (LTV) ratio for home loans up to Rs.30.00 Lakhs is 90%.
Union Home,"If a person takes a home loan above Rs.75.00 Lakhs, what is the minimum margin required?",The minimum margin required for a home loan above Rs.75.00 Lakhs is 25%.
