title ,query,response
prerna landing page,What is the purpose of the Prerna Landing Page?,"The Prerna Landing Page serves as a unified gateway to all your Prerna Tools. It provides a 360- degree view of both individual and team performance data. With a cleaner design and user-friendly navigation, the landing page aims to enhance your user experience while accessing and managing essential performance-related information."
prerna landing page,Who can use the Prerna Landing Page?,"The Prerna Landing Page is designed for all bank officers across scales and across all Branches,
Regional Offices (ROs), Zonal Offices (ZOs), and Central Offices (CO)."
prerna landing page,What metrics are visible on the landing page?,"The landing page allows you to access a variety of metrics, including:
- Navigating to different Union Prerna modules based on your role access (e.g., Role
Clarity Tool, Appraisal Tool, Performance Dashboards, Prerna Helpdesk etc.).
- Viewing HR baseline data, such as your current role and location, previous role, assigned
cohorts and job family.
- Monitoring of your performance achievement and cohort ranking
- Monitoring of your team’s (direct reportees) performance achievement and evaluate the
top & bottom performers.
- Tracking your KRA- wise performance scores across periods
- Comparing your performance with others in your cohort
- Accessing skill assessment results and 360-degree feedback scores and more"
prerna landing page,What is a Cohort?,"A cohort refers to a group of employees who perform similar functions and share similar
demographics. While forming a cohort multiple parameter are taken into consideration.
Example- Scale, Role, Unit type, Branch focus, Size & type of branch, Business size of the unit
etc.
For instance, a cohort could be a group of Scale 3- Credit Officers in Retail-focused metro
branches."
prerna landing page,How is the cohort percentile calculated?,"Your cohort percentile indicates where you stand in terms of cohort performance. The various
cohort percentile ranges are Top 20, Top 40, Top 60, Bottom 40, and Bottom 20.

For example, if there are 200 employees in a cohort, and your rank is between 1-39 (which is
top 20% of total employees in the cohort), then you are in the “top 20 percentile”
Similarly, if you’re rank is between 161-200 (which is bottom 20% of total employees in the
cohort), then you are in the “Bottom 20 percentile”."
prerna landing page,What is the Achievement percentage change?,"Your Achievement percentage change is computed by comparing the increase or decrease in
your Achievement percentage compared to the previous month/quarter. Achievement % is
calculated as Overall score/weight.
For instance, if an employee’s achievement percentage was 80% in Month of June and increased
to 90% in Month of July, the Percentage Achievement Change would be 10%."
prerna landing page,Who are the cohort top performers?,"The top three performers in the cohort based on their performance scores are visible to you on
your landing page."
prerna landing page,How is my team performance calculated?,"To calculate your team's performance, the average achievement scores of all team members
for the latest quarter are considered.
For example, if your team consists of 4 members with achievement scores of 56, 63, 63, and 70 respectively. Assuming weightages for all the 4 team members would be 70. Then the team performance score would be 252, and the team achievement score would be 90% (252/280).
The top and bottom performers in the team are recognized based on their performance rankings
within their respective individual cohorts. Top performers are among the top 75%ile scorers in
their cohorts, while Bottom performers are among the below 40%ile scorers in their cohorts."
prerna landing page,Explain 360 Feedback score and Skill assessment scores on landing page?,"The 360 Feedback Score on the landing page is derived from the assessment that gathers latest
feedback scores from multiple sources, including peers, supervisors, subordinates, and self.
The Skill competency displayed on the landing page is based on the skill assessment tests
undertaken by an individual to evaluate proficiency in specific competencies or skills relevant
to their job roles."
prerna landing page,What activities can employees engage in on the landing page?,"Employees can engage in various activities on the landing page, including:

- Participate in the latest polls
- Stay updated with latest notifications, events and deadlines
- Refer to the “Contact Us” section to connect with the relevant team"
