title ,query,response
union home loan,What is the margin percentage required for a Union Home loan amount up to Rs.30.00 lakhs?,"For a Union Home loan amount up to Rs.30.00 lakhs, the required margin percentage is 10%."
union home loan,"If a Union Home loan is between Rs.30.00 lakhs and Rs.75.00 lakhs, what is the margin percentage?","For a Union Home loan between Rs.30.00 lakhs and Rs.75.00 lakhs, the margin percentage is 20%."
union home loan,What is the Loan to Value (LTV) ratio for Union Home loans up to Rs.30.00 lakhs?,The Loan to Value (LTV) ratio for Union Home loans up to Rs.30.00 lakhs is 90%.
union home loan,"For loan amounts above Rs.75.00 lakhs, what margin percentage is required in the Union Home loan scheme?","For loan amounts above Rs.75.00 lakhs, the Union Home loan scheme requires a margin percentage of 25%."
union home loan,How much is the LTV ratio for Union Home loans that exceed Rs.75.00 lakhs?,"For Union Home loans exceeding Rs.75.00 lakhs, the LTV ratio is 75%."
union home loan,What is the Loan to Value (LTV) ratio if a Union Home loan amount falls between Rs.30.00 lakhs and Rs.75.00 lakhs?,"For a Union Home loan amount between Rs.30.00 lakhs and Rs.75.00 lakhs, the Loan to Value (LTV) ratio is 80%."
union home loan,How much of the property value must the borrower cover if the Union Home loan amount is Rs.25.00 lakhs?,"If the Union Home loan amount is Rs.25.00 lakhs, the borrower must cover 10% of the property value as margin."
union home loan,"For a Union Home loan above Rs.30.00 lakhs but up to Rs.75.00 lakhs, what is the borrower's minimum contribution?"," For a Union Home loan amount above Rs.30.00 lakhs but up to Rs.75.00 lakhs, the borrower must contribute at least 20% of the property value as margin."
union home loan,What is the borrower’s required contribution for a Union Home loan amounting to Rs.80.00 lakhs?,"For a Union Home loan of Rs.80.00 lakhs, the borrower must contribute a 25% margin of the property value."
union home loan,"In the Union Home loan scheme, what is the maximum LTV ratio allowed for a loan amount of Rs.70.00 lakhs?","In the Union Home loan scheme, the maximum LTV ratio for a loan amount of Rs.70.00 lakhs is 80%."
union home loan,"For a Union Home loan amount of Rs.28.00 lakhs, what percentage of the property value can the borrower expect to receive as the loan amount?","For a Union Home loan amount of Rs.28.00 lakhs, the borrower can receive 90% of the property value as the loan amount, based on the LTV ratio."
union home loan,"If a borrower is applying for a Union Home loan for a property valued at Rs.100.00 lakhs, how much can they borrow?","If the property value is Rs.100.00 lakhs, the borrower can borrow up to 75% of the property value, equaling Rs.75.00 lakhs in the Union Home loan scheme."
