title ,query,response
union vehicle,What is the minimum margin required for a salaried customer maintaining a salary account with the bank for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
union vehicle,What is the minimum margin required for a salaried customer not maintaining a salary account with the bank for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
union vehicle,What is the minimum margin required for a non-salaried individual for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
union vehicle,What is the minimum margin required for a salaried customer maintaining a salary account with the bank for a new 2-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 20%
union vehicle,What is the minimum margin required for a salaried customer not maintaining a salary account with the bank for a new 2-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 25%.
union vehicle,What is the minimum margin required for a non-salaried individual for a new 2-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 25%.
union vehicle,What is the minimum margin required for a salaried customer maintaining a salary account with the bank for an old 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 40%.
union vehicle,What is the minimum margin required for a salaried customer not maintaining a salary account with the bank for an old 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 40%.
union vehicle,What is the minimum margin required for a non-salaried individual for an old 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 40%.
union vehicle,"Under the Union Vehicle Loan scheme, does the minimum margin requirement for a new 4-wheeler differ between salaried customers maintaining or not maintaining a salary account with the bank?","No, the minimum margin requirement for a new 4-wheeler is 10% for both categories of salaried customers."
union vehicle,What is the required minimum margin for a non-salaried applicant for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
union vehicle,How does the margin requirement for a new 2-wheeler differ between salaried individuals with and without a salary account at the bank under the Union Vehicle Loan scheme?,The margin requirement is 20% for those with a salary account and 25% for those without.
union vehicle,What is the minimum margin requirement for an old 4-wheeler loan for any category (salaried with/without account and non-salaried) under the Union Vehicle Loan scheme?,The minimum margin requirement is 40% across all categories.
title ,query,response
union vehicle,What is the minimum margin required for a salaried customer maintaining a salary account with the bank for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
union vehicle,What is the minimum margin required for a salaried customer not maintaining a salary account with the bank for a new 4-wheeler under the Union Vehicle Loan scheme?,The minimum margin required is 10%.
