title ,query,response
job family,What is Job Family?,"A job family is a group of jobs that involve work in the same general occupation. These jobs
have requirements for related knowledge, skill sets, and abilities, leading to ease in
competence-wise deployment of employees."
job family,What Job Families do we have for Union Bank of India?,"Recent developments in the banking space made it pertinent to revisit the job family
framework, to meet the requirements of the Bank as well as take cognizance of emerging
business realities such as focus on retail, asset quality and digitization.
Accordingly, looking into the requirements as above as also the implementation experience,
the job family classification is being modified to bring in micro specialization to make job
families more effective and these modifications form the Policy on Implementation of the Job
Family Framework.
There shall be 9 Main Job Families within which following 6 Job Families shall consist of sub
Job Families as under:
1. RAM Credit
- Retail
- Agriculture
- MSME
- RAM - General
2. Operations
3. Sales & Marketing and Relationship Management
4. Treasury, Forex & Corporate Banking
- Treasury
- Forex
- Corporate Banking
- Treasury, Forex & Corporate Banking – General
5. Credit Monitoring, Collections & Recovery
6. Risk, Audit, Compliance and Legal
- Risk
- Audit
- Compliance
- Legal
- Risk, Audit, Compliance and Legal – General
7. Strategy and Finance & Accounts
- Strategy
- Finance & Accounts
- Strategy and Finance & Accounts – General
8. Information Technology
- Other Than CISO
- CISO
- Information Technology- General
9. Human Resources
- Other than L&D
- Learning & Development (L&D)
- Human Resources- General"
job family,Who is eligible for Job Family allocation?,"The scheme shall be applicable to all officers of the Bank up to scale VI, having completed 5
years of service in the Bank.
In the case of promote officers, those who have completed two years in officer cadre and a
minimum of 5 years of service in the Bank shall be eligible."
job family,How will the Job Family allocation process run?,"Process of job family allocation will be as under:
• For scales I to IV: Job family allocation to be driven by four parameters
Bank Extrinsic:
a. Employees to indicate Job Family Preference of their choice through the Preference
Option.
b. Educational qualification, Professional qualification, Certifications, Trainings & e-learning
completed by the employee will be given weightages.
Bank Intrinsic:
c. Previous experience or job roles undertaken by the employee within the bank will be
considered.
d. Past performance of the employee in the bank will also be considered.
For scales V to VI:
Committee inputs
Bank conducts Succession Planning process for Executives in scale V & VI. For this purpose,
experience in the relevant function is important. Therefore, in addition to the above 4
parameters, a Committee shall be formed as under to give its inputs on the job family
allocation of scale V & VI officers.
i.ED HR as Chairman
ii.Vertical Head - HR as Convener
iii.Vertical Head Strategy
iv.Vertical Head Treasury
v.Vertical Head IT
vi.Vertical Head Large Corporate
vii.Vertical Head Operations

Recommendations of the Job Family Committee shall be taken into consideration for
assigning job family to employees in scale V & VI.
An optimization algorithm shall be used to allocate the most suitable job families to
each employee."
job family,Where can I submit my Job Family preferences?,"Job family preference will be submitted through the Job family Preference Tab in Union
Prerna under Union Prerna – HR Digital Tool available in UBINET ==> FAST ACCESS."
job family,What tenure and movement flexibility are built into the Job Family framework?,"A) Tenure:
Once an employee becomes eligible for job family allocation (after completion of 5 years of
service in the Bank) he/she will be allotted a job family in which they will continue for the
next 4 years.

B) Movement Flexibility:
On Completion of 4 Years' Tenure:

i)
Once a generalist officer completes 4 years in their allotted job family (this
duration shall be calculated from the time they have been assigned a role
corresponding to their allotted job family), they shall have the option to
move from their allotted job family to another job family. However, if an
employee is in any of the following 6 main job families:
- RAM credit
- Treasury, Forex and Corporate Banking
- Strategy and Finance and Accounts
- Risk, Audit, Compliance and Legal
- Information Technology
- Human Resources

He/she can opt to remain in the main job family and switch to another sub job
family.
They will be given an option to give their preferences and fresh allotment will be
done post assessment as well as depending on the Bank's current requirement.

ii)Before Completion of 4 Years' Tenure:
Bank reserves the right to move an employee from their allotted JF to
another JF even before the completion of their 4-year term, based on
business exigencies/individual performance. In the case of executives in
scales V & VI, as part of the larger succession planning process, for leadership
development, or for the purpose of giving field exposure, etc., job family
can change before completion of 4 years.

iii)Special Provision for Top Performers:
The Top 5% of performers in each job family shall be duly recognized and
selected for exposure at other job families for their all-round development
in preparation for future leadership positions, even before completion of 4
years in their allotted job family, subject to discretion of the Bank."
job family,"As a specialist officer, how will Job Family allocation work for me?","Job family is applicable for all specialist officers, as specialists are mapped to the job
families related to their specialization.
Specialist officers shall be given an option for exposure to a minimum of 1 and maximum of 2
field roles (preferably as Dy. Branch Head / Dy. Regional Head as first preference followed by
Branch/Regional Head role) upon completion of 5 years in their parent field. This shall
however be contingent upon their requirement as specialist officers in their respective
verticals."
job family,How will the Job Families benefit me and my organization?,"Benefits to Employees:
Library of Key Roles: Defining job families shall Lead to classification of specialized key roles
across the Bank. This shall form the base of all activities starting from arriving at vacancy
figures, to succession planning.

Right person in the right role: Job Family allocation shall be a landmark step towards placing
the right person in the right role, thereby ensuring maximum satisfaction to the employee as
well as maximum synergies for the Bank.
Learning & Development and Training Needs Analysis: Creating and manning specialized
roles shall lead to mapping of mandatory courses1certifications for each role/ function,
thereby ensuring continuous learning on the part of the individual as well as helping to derive
training needs.
Creation of Talent Reservoir for Succession Planning: Inducting and developing employees
in specific job families shall create a steady and ready pipeline of potential successors for
leadership roles across all functions in the Bank. This shall lead to identification of leadership
and key persons for critical roles and responsibilities."
job family,"What are some of the learning and development opportunities post Job Family
allocation?","Following learning and development opportunities shall be provided to employees post JF
allocation:
a. Mandatory Certifications / Courses: List of certifications and courses shall be defined
against each job family to be completed by the employee post JF allotment. Employees shall
be required to complete these mandated certifications / courses within a pre-defined
timeframe to augment their skills;
b. Trainings: There shall be internal trainings relevant to job families as well as external
trainings through (a) empanelment of external subject matter experts; (b) giving opportunity
for training at premier institutes
c. E-Learning: There shall be mandated e-learning modules for each job family, to be
completed by employees within a pre-defined timeframe."
job family,What will be the treatment of employees already mapped to Job Families?,"Employees who have been allotted job families in the implementation processes conducted pre-
amalgamation in Union Bank of India shall not need to apply for the job family option again.
They shall be considered to have been allotted to the job family relevant to the role assigned
to them, post allocation of the previous job family initiatives."
job family,Will allocation of job family lead to transfer?,"Allotted job family shall be displayed on the biodata of the employee as well as reflected on
Landing Page in Union Prerna.
Endeavour shall be made to provide employees their job family roles in their current location
to the largest extent possible.
Employees shall also be able to continue in their allotted Job Family for the remaining part of
the tenure, even upon being transferred to the largest extent possible."
job family,How will the Job Families benefit all Executives of the Bank in scales V & VI?,"Since each Job Family encompasses a broad dimension of banking and covers multiple
departments, the extant Policy on Job Family implementation stipulates that an employee shall
continue in their assigned job family for a period of 4 years to give them adequate and in-depth
experience in the multitude of job roles within their job family. During this tenure in the job
family they will be given ample grooming for creating expertise in the assigned area. Since job
experiences in varied banking facets shall help them to be stronger and empowered contenders
for manning top leadership positions, care has been taken that each executive is groomed in
all areas where they may not have much technical competence but can gainfully contribute and
develop themselves."
job family,Can Job families of Executives of the Bank in scales V & VI be changed?,"The Job Family of an employee can be changed before completion of the 4-year tenure to meet
succession planning needs, provide job role exposure or for other business requirements and
exigencies of the Bank, after approval from Competent Authority."
job family,"Will the executives of the Bank in scales V & VI get any training on the Job Families
allocated to them?","During the 4-year tenure, employees shall undergo customized programs in Learning &
Development for their holistic skill enhancement in the various facets of their job family."
