title ,query,response
ServiceCharge mandate registration and returns,What is the existing charge for image-based mandate registration?,The existing charge for image-based mandate registration is ₹100.
ServiceCharge mandate registration and returns,What is the revised charge for image-based mandate registration?,The revised charge for image-based mandate registration is ₹150.
ServiceCharge mandate registration and returns,How much does e-mandate registration currently cost?,The existing charge for e-mandate registration is ₹50.
ServiceCharge mandate registration and returns,What will the charge for e-mandate registration be after the revision?,The revised charge for e-mandate registration will be ₹100.
ServiceCharge mandate registration and returns,What is the current charge for NACH/Direct Debit mandate return?,The existing charge for NACH/Direct Debit mandate return is ₹250.
ServiceCharge mandate registration and returns,What is the new charge for NACH/Direct Debit mandate return after revision?,The revised charge for NACH/Direct Debit mandate return is ₹400.
ServiceCharge mandate registration and returns,Are the charges for image-based mandate registration being increased?,"Yes, the charge for image-based mandate registration is being revised from ₹100 to ₹150."
ServiceCharge mandate registration and returns,Is there a change in the charges for e-mandate registration?,"Yes, the e-mandate registration charge is being revised from ₹50 to ₹100."
ServiceCharge mandate registration and returns,Will the charge for NACH/Direct Debit mandate return increase?,"Yes, the NACH/Direct Debit mandate return charge will increase from ₹250 to ₹400."
ServiceCharge mandate registration and returns,What is the difference in cost between the existing and revised charges for image-based mandate registration?,"The difference is ₹50, increasing from ₹100 to ₹150."
ServiceCharge mandate registration and returns,What is the difference in cost between the existing and revised charges for e-mandate registration?,"The difference is ₹50, increasing from ₹50 to ₹100."
ServiceCharge mandate registration and returns,What is the increase in charge for NACH/Direct Debit mandate return after revision?,"The charge is increasing by ₹150, from ₹250 to ₹400."
