title ,query,response
 Debit card service charges,What are the charges for the first year of usage for a debit card?,The charges for the first year of usage for a debit card are Nil.
 Debit card service charges,What is the annual maintenance charge (AMC) for a Classic debit card after the first year?,The annual maintenance charge for a Classic debit card after the first year is Rs. 200 + GST.
 Debit card service charges,"How much is charged for reissuing a debit card that has been surrendered, blocked, hot-listed, or damaged?","The charge for reissuing a surrendered, blocked, hot-listed, or damaged debit card is Rs. 150 + GST."
 Debit card service charges,"If a customer upgrades from a Classic to a Platinum debit card, what will be the charge?",The charge for upgrading from a Classic to a Platinum debit card is Rs. 100 + GST.
 Debit card service charges,How many free financial transactions are allowed at the bank's own ATMs for Classic debit cardholders?,Classic debit cardholders are allowed 8 free financial transactions at the bank’s own ATMs per month.
 Debit card service charges,How many free financial transactions can a Signature debit cardholder make at the bank's own ATMs?,Signature debit cardholders can make 20 free financial transactions at the bank’s own ATMs per month.
 Debit card service charges,What are the charges for a financial transaction at another bank's ATM once the free limit is exceeded?,The charge for a financial transaction at another bank's ATM beyond the free limit is Rs. 21 + GST.
 Debit card service charges,How much does the bank charge for an international non-financial transaction?,The charge for an international non-financial transaction is Rs. 35 + GST.
 Debit card service charges,"If a customer makes an international financial transaction of Rs. 10,000, what will be the currency conversion charge?","The currency conversion charge for an international financial transaction of Rs. 10,000 would be 2.50% of Rs. 10,000, which equals Rs. 250."
 Debit card service charges,What is the fee for generating a physical debit card PIN dispatched to the branch?,The fee for generating a physical debit card PIN dispatched to the branch is Rs. 50 + GST.
 Debit card service charges,"If a customer with a Classic debit card linked to multiple accounts uses the ATM for 10 financial transactions at their own bank, what will be the charge for the additional transactions?","The first 8 transactions are free, and the next 2 transactions will be charged at Rs. 21 + GST each, so the total charge would be Rs. 42 + GST."
 Debit card service charges,How many free transactions are allowed at other bank ATMs for customers in metro centers?,Customers are allowed 3 free transactions per month at other bank ATMs in metro centers.
 Debit card service charges,How many free transactions are permitted at other bank ATMs for customers in non-metro centers?,Customers are allowed 5 free transactions per month at other bank ATMs in non-metro centers.
 Debit card service charges,Calculate the total charge for 3 international financial transactions if the charge per transaction is Rs. 125 + GST.,The total charge for 3 international financial transactions would be 3 x Rs. 125 + GST = Rs. 375 + GST.
 Debit card service charges,What would be the charge for a customer using a Platinum debit card to upgrade to a Signature card?,The charge for upgrading from a Platinum debit card to a Signature card is Rs. 100 + GST.
 Debit card service charges,"If a customer makes 5 non-financial transactions at other bank ATMs beyond the free limit, what would be the total charge?","The charge for each non-financial transaction is Rs. 8 + GST, so for 5 transactions, the total charge would be Rs. 40 + GST."
 Debit card service charges,How much will a customer pay in charges if they reissue a debit card and also request a physical debit card PIN?,"The total charges would be Rs. 150 + GST for card reissuance and Rs. 50 + GST for the physical PIN, amounting to Rs. 200 + GST."
 Debit card service charges,What would be the charge for 10 financial transactions made at a non-bank ATM beyond the free limit?,"The charge for each financial transaction is Rs. 21 + GST, so for 10 transactions, the total charge would be Rs. 210 + GST."
 Debit card service charges,"If a Signature debit cardholder performs 25 transactions at their own bank’s ATM, how many of those transactions will be charged?"," The first 20 transactions are free, so the remaining 5 transactions will be charged. The charge would be 5 x Rs. 21 + GST = Rs. 105 + GST."
 Debit card service charges,"What is the total charge if a customer performs 2 financial and 2 non-financial transactions at another bank’s ATM, exceeding the free limit?",The total charge would be (2 x Rs. 21 + GST) + (2 x Rs. 8 + GST) = Rs. 42 + GST + Rs. 16 + GST = Rs. 58 + GST.
 Debit card service charges,How much does a customer need to pay for upgrading from a Classic to a Select debit card?,The charge for upgrading from a Classic debit card to a Select card is Rs. 100 + GST.
 Debit card service charges,"Calculate the currency conversion charges for an international transaction of Rs. 50,000.","The currency conversion charges would be 2.50% of Rs. 50,000, which equals Rs. 1,250."
 Debit card service charges,What is the total amount payable including GST for a Classic debit card’s AMC if the GST rate is 18%?,"The AMC for a Classic debit card is Rs. 200 + GST. With 18% GST, the total would be Rs. 200 + (0.18 x 200) = Rs. 200 + Rs. 36 = Rs. 236."
 Debit card service charges,"If a customer incurs charges for 4 reissuances of their debit card in a year, what will be the total charge?","The charge per reissuance is Rs. 150 + GST. For 4 reissuances, the total charge would be 4 x Rs. 150 + GST = Rs. 600 + GST."
