title ,query,response
gov_savings_scheme,Which Small Savings Scheme offers the highest interest rate for the fourth quarter of FY 2023-24?,The Senior Citizen Saving Scheme and the Sukanya Samridhhi Account Scheme both offer the highest interest rate of 8.2% for the given period.
gov_savings_scheme,How much more interest does a 5-Year Time Deposit earn compared to a 1-Year Time Deposit?,"The 5-Year Time Deposit earns 0.6% more interest than the 1-Year Time Deposit. The 5-Year Time Deposit has an interest rate of 7.5%, while the 1-Year Time Deposit has an interest rate of 6.9%."
gov_savings_scheme,"If you invest ₹100,000 in a Public Provident Fund Scheme for one year, how much interest would you earn?","With an interest rate of 7.1% on the Public Provident Fund Scheme, you would earn ₹7,100 in interest on an investment of ₹100,000 for one year."
gov_savings_scheme,How long does it take for an investment in Kisan Vikas Patra to double?,"According to the information provided, Kisan Vikas Patra will mature in 115 months, which is approximately 9 years and 7 months."
gov_savings_scheme,What is the difference in interest rates between the 3-Year Time Deposit and the 5-Year Recurring Deposit?,"The difference in interest rates is 0.4%. The 3-Year Time Deposit offers 7.1% interest, while the 5-Year Recurring Deposit offers 6.7% interest."
gov_savings_scheme,"If you invest ₹50,000 in the Monthly Income Account Scheme, what would be your monthly interest income?","With an interest rate of 7.4% per annum, your monthly interest income would be approximately ₹308.33 (50,000 * 0.074 / 12)."
gov_savings_scheme,"How much more interest would you earn annually on ₹200,000 invested in the Senior Citizen Saving Scheme compared to the National Saving Certificate?","The Senior Citizen Saving Scheme offers 8.2% interest, while the National Saving Certificate offers 7.7%. The difference is 0.5%. On ₹200,000, you would earn ₹1,000 more annually in the Senior Citizen Saving Scheme (200,000 * 0.005)."
gov_savings_scheme,"If you invest ₹10,000 each in 1-Year, 2-Year, 3-Year, and 5-Year Time Deposits, what would be the total interest earned after one year?","The total interest earned would be ₹2,850. Calculation: (10,000 * 0.069) + (10,000 * 0.07) + (10,000 * 0.071) + (10,000 * 0.075) = 690 + 700 + 710 + 750 = 2,850"
gov_savings_scheme,"How much more would you earn annually on a ₹500,000 investment in the Sukanya Samridhhi Account Scheme compared to the Public Provident Fund Scheme?","The difference in interest rates is 1.1% (8.2% - 7.1%). On ₹500,000, you would earn ₹5,500 more annually in the Sukanya Samridhhi Account Scheme (500,000 * 0.011)."
gov_savings_scheme,"If you invest ₹1,000 monthly in the 5-Year Recurring Deposit scheme, how much would you have accumulated at the end of 5 years, assuming simple interest?","With an interest rate of 6.7% per annum, you would accumulate approximately ₹69,025 after 5 years. This is calculated as: Principal (60,000) + Interest (1,000 * 6.7% * (5+1)/2 * 5) = 60,000 + 9,025 = 69,025."
gov_savings_scheme,"What is the difference in interest earned between a 3-Year Time Deposit and a 5-Year Time Deposit for an investment of ₹250,000 over a 3-year period?","The 3-Year Time Deposit earns 7.1% while the 5-Year Time Deposit earns 7.5%. Over 3 years, the difference would be: 250,000 * (0.075 - 0.071) * 3 = ₹3,000."
gov_savings_scheme,"If you invest ₹100,000 in the National Saving Certificate, how much will you have at the end of 5 years, assuming the interest rate remains constant and interest is compounded annually?","With an interest rate of 7.7%, after 5 years you would have: 100,000 * (1 + 0.077)^5 = ₹145,019.37."
gov_savings_scheme,"How much do you need to invest in the Kisan Vikas Patra scheme to get ₹200,000 at maturity?","Given that KVP matures in 115 months (9.58 years) and the interest rate is 7.5%, you would need to invest: 200,000 / (1 + 0.075)^9.58 = ₹101,604.55."
gov_savings_scheme,"What's the monthly interest difference between investing ₹500,000 in the Senior Citizen Saving Scheme versus the Monthly Income Account Scheme?","Senior Citizen Saving Scheme: 500,000 * 0.082 / 12 = ₹3,416.67 per month Monthly Income Account Scheme: 500,000 * 0.074 / 12 = ₹3,083.33 per month Difference: 3,416.67 - 3,083.33 = ₹333.34 per month"
gov_savings_scheme,"If you invest equal amounts in 1-Year, 2-Year, and 3-Year Time Deposits totaling ₹300,000, how much total interest will you earn after one year?","Amount in each deposit: 300,000 / 3 = 100,000 Interest earned: 1-Year: 100,000 * 0.069 = 6,900 2-Year: 100,000 * 0.07 = 7,000 3-Year: 100,000 * 0.071 = 7,100 Total interest: 6,900 + 7,000 + 7,100 = ₹21,000"
gov_savings_scheme,"How much more would you earn over 10 years by investing ₹50,000 annually in the Public Provident Fund Scheme compared to the 5-Year Recurring Deposit, assuming rates remain constant and interest is compounded annually?","PPF (7.1%): 50,000 * ((1 + 0.071)^10 - 1) / 0.071 = ₹719,016.76 5-Year RD (6.7%): 50,000 * ((1 + 0.067)^10 - 1) / 0.067 = ₹696,402.91 Difference: 719,016.76 - 696,402.91 = ₹22,613.85"
gov_savings_scheme,"If you invest ₹1,000,000 in the Sukanya Samridhhi Account Scheme, how much more interest would you earn in one year compared to investing the same amount in a 5-Year Time Deposit?","Sukanya Samridhhi: 1,000,000 * 0.082 = 82,000 5-Year Time Deposit: 1,000,000 * 0.075 = 75,000 Difference: 82,000 - 75,000 = ₹7,000"
gov_savings_scheme,"How much should you invest monthly in the 5-Year Recurring Deposit to accumulate ₹500,000 at maturity, assuming simple interest?","Using the formula: P * n * (1 + r * (n+1) / (2*12)) = 500,000 Where P is the monthly investment, n is 60 months, and r is 6.7% per annum Solving this, you need to invest approximately ₹7,240 per month."
gov_savings_scheme,"If you have ₹400,000 to invest, how much more would you earn annually by splitting it equally between the Senior Citizen Saving Scheme and Sukanya Samridhhi Account Scheme, compared to investing it all in the National Saving Certificate?","SCSS + SSA: (200,000 * 0.082) + (200,000 * 0.082) = 32,800 NSC: 400,000 * 0.077 = 30,800 Difference: 32,800 - 30,800 = ₹2,000 more annually"
