title ,query,response
union education loan,Who is eligible for the Union Education Scheme - Education Loan for ISB?,"Students who have secured admission for the academic year 2024-25 at Indian School of Business (ISB) in Hyderabad, Mohali, Mumbai, Bengaluru, or New Delhi for the following programs are eligible:

- Post Graduate Programme in Management (PGPM)
- Post Graduate Programme in Management for working professionals (PGPPRO)
- Post Graduate Programme in Management for Senior Executives (PGPMAX) The scheme does not apply to other executive courses or short-duration programs at ISB."
union education loan,What is the purpose of the Union Education Scheme - Education Loan for ISB?,"The purpose of the loan is to cover tuition fees, cost of books, caution deposit (refundable), hostel charges, mess charges, the cost of a desktop/laptop/tablet, living expenses, insurance premium, student exchange program fees, admission acceptance fees, and other associated costs. For a desktop/laptop/tablet, reimbursement is available if purchased for ISB studies, and caution deposits are to be returned to the loan account upon refund from ISB."
union education loan,What is the maximum quantum of loan that can be availed under this scheme?,"The maximum loan amount is Rs. 50.00 lakh per student. The total loan amount includes a maximum of Rs. 4.00 lakh for the Student Exchange Programme for the PGPM course. Students are eligible for 100% financing up to this maximum, with any additional expenses to be covered by the borrower."
union education loan,Is there any margin stipulated in the Union Education Scheme - Education Loan for ISB?,"No margin is stipulated under the scheme, meaning students can receive financing for 100% of the course cost up to the maximum loan amount."
union education loan,What is the applicable interest rate under the Union Education Scheme - Education Loan for ISB?,"The interest rate is EBLR-1.10%, currently 8.20% floating, applicable to both male and female students. There is no additional concession or rebate for servicing interest during the course/moratorium period, though servicing interest during this period is optional. If the loan is transferred to another bank or financial institution, the standard education loan interest rate will apply from the start of the loan, though no takeover charges will be levied."
union education loan,What are the course durations covered under this education loan scheme?,"The loan covers the following course durations:

- PGPM: 12 months
- PGPPRO: 18 months
- PGPMAX: 15 months"
union education loan,Is the Admission Acceptance Fee (AAF) reimbursable under this scheme?,"Yes, the Admission Acceptance Fee, which is between Rs. 2.50-3.00 lakh, is reimbursable if paid within the overall loan limit. Students often need to pay this fee within 10-20 days to confirm their selection, after which they can apply for reimbursement."
union education loan,Can students receive reimbursement for the first or second term fees if already paid?,"Yes, if the student initially arranges funds for the first or second term fee, they can request reimbursement for this fee under the loan scheme."
union education loan, Does the Union Education Scheme cover expenses for a student exchange program?,"Yes, the loan can cover up to Rs. 4.00 lakh for the Student Exchange Programme for PGPM students. This includes expenses for term fees at foreign universities, travel expenses, and lodging & boarding charges. Disbursement occurs only after proof of selection for the exchange program is provided."
union education loan,Is there any processing charge for the loan?,"No, there is no processing charge for this loan."
union education loan,What is the maximum repayment tenure for this loan?,The maximum repayment tenure is 15 years after the course and moratorium period.
union education loan,What is the moratorium period for each course under this scheme?,"The moratorium period varies by course:

- For PGPM: Course duration plus one year
- For PGPPRO and PGPMAX: Repayment begins the month following course completion."
union education loan,Is a co-applicant or guarantor required for this loan?,"No, a co-applicant or guarantor is not required."
union education loan,What is the minimum CIBIL score required to apply for this loan?,The minimum CIBIL score required for eligibility under this scheme is 650.
union education loan,Is collateral security required under the Union Education Scheme for ISB?,"No collateral security or third-party guarantee is required, regardless of the loan amount."
union education loan,Is insurance mandatory under this scheme?,"Yes, a term life insurance policy equal to the loan amount, covering the course, moratorium, and repayment period, is required. The premium can be included in the loan amount. Students may choose any insurance provider offering lower premiums."
union education loan,Can students with an existing education loan apply for an additional loan under this scheme?,"Yes, students with an existing education loan can apply for a second loan under this scheme, provided certain conditions are met regarding the repayment status of the first loan. The total outstanding balance of both loans should not exceed Rs. 50.00 lakh."
union education loan,Are there provisions to take over an ISB student’s education loan from another bank?,"Yes, a takeover is permitted if the student has a housing loan in the standard category with the bank. If the housing loan is with another bank, the student must be willing to transfer it to this bank for the takeover to proceed."
union education loan,Are NRI students eligible for this scheme?,"No, NRI students are not eligible under this scheme."
union education loan,What documentation is required from students applying under this scheme?,"Passport details and PAN are mandatory. For PGP-PRO and PGP-MAX students, IT returns, salary certificates, or employment certificates are required to assess current earnings."
union education loan,Can students apply for this loan if they have not yet paid the first term fee?,"Yes, students applying for the loan for the second term fee can also request reimbursement of the first term fee, but reimbursement does not cover the admission acceptance fee or laptop/tablet expenses."
