title ,query,response
IR NRI,What is the interest rate for a 1-year NRI deposit of less than Rs. 3 Crore?,The interest rate for a 1-year NRI deposit of less than Rs. 3 Crore is 6.8% per annum.
IR NRI,Which tenure offers the highest interest rate for NRI deposits?,The highest interest rate of 7.25% per annum is offered for 399-day deposits.
IR NRI,"If an NRI invests Rs. 1 Crore for 399 days, how much interest would they earn?","For a deposit of Rs. 1 Crore for 399 days at 7.25% per annum: Interest = (1,00,00,000 * 7.25 * 399) / (100 * 365) Interest = Rs. 7,92,493 (rounded to the nearest rupee)"
IR NRI,What is the interest rate difference between a 2-year deposit and a 3-year deposit?,"The interest rate for a 2-year deposit is 6.6% per annum, while for a 3-year deposit it is 6.7% per annum. The difference is 0.1 percentage points."
IR NRI,How much more interest would an NRI earn on a Rs. 2 Crore deposit for 3 years compared to 2 years?,"For a 2-year deposit at 6.6%: (2,00,00,000 * 6.6 * 2) / 100 = Rs. 26,40,000 For a 3-year deposit at 6.7%: (2,00,00,000 * 6.7 * 3) / 100 = Rs. 40,20,000 Difference: Rs. 40,20,000 - Rs. 26,40,000 = Rs. 13,80,000"
IR NRI,What is the interest rate for a 998-day deposit?,The interest rate for a 998-day deposit is 6.6% per annum.
IR NRI,How much interest would an NRI earn on a Rs. 50 lakh deposit for 997 days?,"For a 997-day deposit at 6.4%: Interest = (50,00,000 * 6.4 * 997) / (100 * 365) Interest = Rs. 8,74,882 (rounded to the nearest rupee)"
IR NRI,What is the difference in interest earned between a 399-day deposit and a 400-day deposit for Rs. 1.5 Crore?,"For a 399-day deposit at 7.25%: (1,50,00,000 * 7.25 * 399) / (100 * 365) = Rs. 11,88,740 For a 400-day deposit at 6.6%: (1,50,00,000 * 6.6 * 400) / (100 * 365) = Rs. 10,84,932 Difference: Rs. 11,88,740 - Rs. 10,84,932 = Rs. 1,03,808"
IR NRI,"If an NRI has Rs. 4 Crore to invest, what would be the total interest earned if they split it equally between 1-year and 5-year deposits?","For Rs. 2 Crore in 1-year deposit at 6.8%: (2,00,00,000 * 6.8 * 1) / 100 = Rs. 13,60,000 For Rs. 2 Crore in 5-year deposit at 6.5%: (2,00,00,000 * 6.5 * 5) / 100 = Rs. 65,00,000 Total interest: Rs. 13,60,000 + Rs. 65,00,000 = Rs. 78,60,000"
IR NRI,What is the average interest rate for deposits between 1 year and 5 years?,"To calculate the average, we'll use the rates for 1 year (6.8%), 399 days (7.25%), 2 years (6.6%), 3 years (6.7%), and 5 years (6.5%). Average = (6.8 + 7.25 + 6.6 + 6.7 + 6.5) / 5 = 6.77%"
IR NRI,How much more would an NRI earn on a Rs. 75 lakh deposit for 999 days compared to 1000 days?,"For 999 days at 6.4%: (75,00,000 * 6.4 * 999) / (100 * 365) = Rs. 13,15,233 For 1000 days at 6.6%: (75,00,000 * 6.6 * 1000) / (100 * 365) = Rs. 13,56,164 Difference: Rs. 13,56,164 - Rs. 13,15,233 = Rs. 40,931"
