title ,query,response
Revised SMS Charges,What is the cost of sending a domestic SMS through SMS Banking?,The cost of sending a domestic SMS through SMS Banking is Rs. 0.25 plus GST.
Revised SMS Charges,How much does an international SMS cost under the revised charges?,An international SMS costs Rs. 1.20 plus GST under the revised charges.
Revised SMS Charges,"If a customer sends 100 domestic SMS messages in a month, what would be the total cost before GST?",The total cost for 100 domestic SMS messages before GST would be Rs. 25 (100 * Rs. 0.25).
Revised SMS Charges,How many international SMS messages can be sent for the same price as 100 domestic SMS messages?,"For the price of 100 domestic SMS messages (Rs. 25), approximately 20 international SMS messages can be sent (25 / 1.20 ≈ 20.83)."
Revised SMS Charges,What is the difference in cost between sending one domestic SMS and one international SMS?,The difference in cost between one domestic SMS and one international SMS is Rs. 0.95 (Rs. 1.20 - Rs. 0.25).
Revised SMS Charges,"If a customer sends 50 domestic SMS messages and 10 international SMS messages in a month, what would be the total cost before GST?",The total cost would be Rs. 24.50 ((50 * Rs. 0.25) + (10 * Rs. 1.20)).
Revised SMS Charges,How has the maximum cap on charges changed in the revised version?,The maximum cap of Rs. 15+GST per quarter has been removed in the revised charges.
Revised SMS Charges,"If a customer previously hit the maximum cap of Rs. 15+GST per quarter, how many domestic SMS messages can they send now for the same price?","Under the revised charges, a customer can send 60 domestic SMS messages for Rs. 15 (15 / 0.25 = 60)."
Revised SMS Charges,What is the percentage increase in cost for international SMS messages compared to domestic SMS messages?,The cost of an international SMS is 380% higher than a domestic SMS ((1.20 - 0.25) / 0.25 * 100 = 380%).
Revised SMS Charges,"If a customer sends 200 domestic SMS messages and 5 international SMS messages in a month, what would be the total cost before GST?",The total cost would be Rs. 56 ((200 * Rs. 0.25) + (5 * Rs. 1.20)).
Revised SMS Charges,"If a customer sends 1000 domestic SMS messages in a year, what is the total cost before GST?",The total cost for 1000 domestic SMS messages before GST would be Rs. 250 (1000 * Rs. 0.25).
Revised SMS Charges,How many domestic SMS messages can be sent for the same cost as 50 international SMS messages?,"50 international SMS messages cost Rs. 60 (50 * Rs. 1.20). For the same cost, 240 domestic SMS messages can be sent (60 / 0.25 = 240)."
Revised SMS Charges,What is the cost difference between sending 100 domestic SMS messages versus 100 international SMS messages?,The cost difference is Rs. 95 ((100 * Rs. 1.20) - (100 * Rs. 0.25) = Rs. 120 - Rs. 25 = Rs. 95).
Revised SMS Charges,"If a business sends 500 domestic SMS messages and 20 international SMS messages per month, what's their annual SMS cost before GST?","Monthly cost: (500 * Rs. 0.25) + (20 * Rs. 1.20) = Rs. 125 + Rs. 24 = Rs. 149 Annual cost: Rs. 149 * 12 = Rs. 1,788"
Revised SMS Charges,How many international SMS messages would equal the cost of 1000 domestic SMS messages?,1000 domestic SMS messages cost Rs. 250. This is equivalent to approximately 208 international SMS messages (250 / 1.20 ≈ 208.33).
Revised SMS Charges,"If a customer's quarterly SMS usage consists of 300 domestic and 15 international messages, how much would they save under the new system compared to the old maximum cap?",New system cost: (300 * Rs. 0.25) + (15 * Rs. 1.20) = Rs. 75 + Rs. 18 = Rs. 93 Old system cost: Rs. 15 (maximum cap) They would pay Rs. 78 more under the new system (Rs. 93 - Rs. 15 = Rs. 78)
Revised SMS Charges,What percentage of an international SMS cost is a domestic SMS cost?,A domestic SMS costs 20.83% of an international SMS (0.25 / 1.20 * 100 ≈ 20.83%)
Revised SMS Charges,"If a company budgets Rs. 5000 for SMS services annually, how many domestic SMS messages can they send per month on average?","Monthly budget: Rs. 5000 / 12 ≈ Rs. 416.67 Number of domestic SMS per month: 416.67 / 0.25 ≈ 1,666 SMS messages"
Revised SMS Charges,How much would it cost to send 1 domestic SMS every day for a year?,365 days * Rs. 0.25 = Rs. 91.25 before GST
Revised SMS Charges,"If international SMS usage is typically 5% of domestic SMS usage, and a customer sends 2000 domestic SMS messages, what would be the total cost for both domestic and international messages?",Domestic SMS: 2000 * Rs. 0.25 = Rs. 500 International SMS: (2000 * 0.05) * Rs. 1.20 = 100 * Rs. 1.20 = Rs. 120 Total cost: Rs. 500 + Rs. 120 = Rs. 620 before GST
