title ,query,response
IR_deposits,What is the interest rate for deposits below Rs. 3 crore for a period of 7-14 days?,The interest rate for deposits below Rs. 3 crore for a period of 7-14 days is 3.5% per annum.
IR_deposits,What rate applies to deposits under Rs. 3 crore for the period of 15-30 days?,The rate for deposits under Rs. 3 crore for the period of 15-30 days is 3.5% per annum.
IR_deposits,What is the interest rate for a deposit period of 31-45 days for amounts less than Rs. 3 crore?,"For amounts less than Rs. 3 crore with a deposit period of 31-45 days, the interest rate is 3.5% per annum."
IR_deposits,What interest rate is offered for deposits under Rs. 3 crore for 46-90 days?,The interest rate offered for deposits under Rs. 3 crore for 46-90 days is 4.5% per annum.
IR_deposits,"If I deposit an amount below Rs. 3 crore for 91-120 days, what will the interest rate be?",The interest rate for deposits below Rs. 3 crore for 91-120 days is 4.8% per annum.
IR_deposits,What is the applicable interest rate for deposits less than Rs. 3 crore for a period of 121-180 days?,The interest rate for deposits under Rs. 3 crore for 121-180 days is 5% per annum.
IR_deposits,"For a deposit period of 181 days to less than 332 days, what interest rate is offered on deposits below Rs. 3 crore?",The interest rate for deposits below Rs. 3 crore for a period of 181 days to less than 332 days is 6.35% per annum.
IR_deposits,What is the interest rate for a deposit of Rs. 3 crore or below for exactly 333 days?,The interest rate for a deposit of Rs. 3 crore or below for exactly 333 days is 7.4% per annum.
IR_deposits,"For a deposit period of 334 days to less than 1 year, what is the interest rate for deposits below Rs. 3 crore?",The interest rate for deposits below Rs. 3 crore for 334 days to less than 1 year is 6.35% per annum.
IR_deposits,What rate applies to a 1-year deposit under Rs. 3 crore?,The interest rate for a 1-year deposit under Rs. 3 crore is 6.8% per annum.
IR_deposits,"If I deposit an amount below Rs. 3 crore for a period exceeding 1 year but up to 398 days, what rate will I earn?","For a period exceeding 1 year but up to 398 days, the rate for deposits under Rs. 3 crore is 6.8% per annum."
IR_deposits,What is the interest rate for a deposit under Rs. 3 crore with a term of exactly 399 days?,The interest rate for a deposit under Rs. 3 crore with a term of exactly 399 days is 7.25% per annum.
IR_deposits,"For deposits under Rs. 3 crore for 400 days to 2 years, what is the interest rate?",The interest rate for deposits under Rs. 3 crore for a period of 400 days to 2 years is 6.6% per annum.
IR_deposits,What is the interest rate for deposits less than Rs. 3 crore for a period exceeding 2 years but up to 996 days?,"For a period exceeding 2 years but up to 996 days, the interest rate for deposits under Rs. 3 crore is 6.6% per annum."
IR_deposits,What rate is offered on deposits under Rs. 3 crore for a term of exactly 997 days?,The interest rate for deposits under Rs. 3 crore for exactly 997 days is 6.4% per annum.
IR_deposits,"If I make a deposit under Rs. 3 crore for more than 998 days but less than 3 years (excluding 999 days), what will be the interest rate?",The interest rate for deposits under Rs. 3 crore for more than 998 days but less than 3 years (excluding 999 days) is 6.6% per annum.
IR_deposits,What is the interest rate for a deposit under Rs. 3 crore for exactly 3 years?,The interest rate for a deposit under Rs. 3 crore for exactly 3 years is 6.7% per annum.
IR_deposits,What rate applies to deposits below Rs. 3 crore for a period of more than 3 years but up to 5 years?,The interest rate for deposits below Rs. 3 crore for a period of more than 3 years but up to 5 years is 6.5% per annum.
